Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc
957268333,Blue,100,0,99,2023-12-31,Week-53,Q4,2023,7570.00,1388,3849,70,0.183,Swipe ,Entertainment,230.940,0
951939025,Blue,125,1,82,2023-12-31,Week-53,Q4,2023,4402.00,1640,1774,46,0.373,Swipe ,Entertainment,195.140,0
912062417,Blue,300,1,105,2023-12-31,Week-53,Q4,2023,4254.00,1204,5385,93,0.283,Swipe ,Entertainment,700.050,0
931204683,Blue,195,1,108,2023-12-31,Week-53,Q4,2023,4426.00,1530,1231,34,0.346,Swipe ,Bills,123.100,0
955413495,Blue,455,0,123,2023-12-31,Week-53,Q4,2023,18004.00,2517,2030,45,0.140,Swipe ,Bills,365.400,0
926366819,Blue,100,1,60,2023-12-31,Week-53,Q4,2023,21927.00,1291,1946,37,0.059,Swipe ,Entertainment,311.360,0
946988891,Blue,125,0,72,2023-12-31,Week-53,Q4,2023,4092.00,996,2298,48,0.243,Swipe ,Fuel,298.740,0
932566259,Blue,460,0,88,2023-12-31,Week-53,Q4,2023,5342.00,2005,14738,94,0.375,Chip ,Entertainment,2358.080,0
931860481,Blue,300,1,114,2023-12-31,Week-53,Q4,2023,8795.00,2517,4552,81,0.286,Chip ,Entertainment,773.840,0
929882675,Blue,460,0,84,2023-12-31,Week-53,Q4,2023,3131.00,2379,2315,63,0.760,Swipe ,Bills,370.400,0
943527510,Blue,450,1,97,2023-12-31,Week-53,Q4,2023,10533.00,1689,3651,69,0.160,Chip ,Food,584.160,0
916639558,Blue,330,0,116,2023-12-31,Week-53,Q4,2023,1741.00,0,2546,42,0.000,Swipe ,Grocery,458.280,0
952877527,Blue,200,1,69,2023-12-31,Week-53,Q4,2023,6630.00,916,842,24,0.138,Swipe ,Bills,92.620,0
965133642,Blue,430,0,157,2023-12-31,Week-53,Q4,2023,2022.00,0,4623,65,0.000,Chip ,Entertainment,924.600,0
943332935,Blue,285,1,154,2023-12-31,Week-53,Q4,2023,5095.00,0,3808,89,0.000,Chip ,Grocery,723.520,1
911356906,Blue,345,1,70,2023-12-31,Week-53,Q4,2023,33472.00,2517,4719,70,0.075,Swipe ,Fuel,566.280,0
914100961,Blue,490,0,86,2023-12-31,Week-53,Q4,2023,5293.00,1236,4572,90,0.234,Swipe ,Fuel,365.760,0
928202998,Blue,300,1,99,2023-12-31,Week-53,Q4,2023,2799.00,0,2311,43,0.000,Swipe ,Bills,184.880,0
927325578,Blue,340,0,63,2023-12-31,Week-53,Q4,2023,7191.00,0,1654,30,0.000,Chip ,Food,314.260,0
967889522,Blue,300,0,117,2023-12-31,Week-53,Q4,2023,2904.00,2203,3848,66,0.759,Chip ,Fuel,384.800,0
957165213,Blue,125,1,83,2023-12-31,Week-53,Q4,2023,3136.00,2138,4930,80,0.682,Swipe ,Fuel,887.400,0
942626947,Blue,175,0,143,2023-12-31,Week-53,Q4,2023,3187.00,1937,5111,90,0.608,Swipe ,Food,664.430,0
953470068,Blue,100,1,114,2023-12-31,Week-53,Q4,2023,12114.00,1379,3964,90,0.114,Swipe ,Bills,317.120,0
922719672,Gold,150,0,102,2023-12-31,Week-53,Q4,2023,15261.00,1109,15442,125,0.073,Chip ,Travel,2316.300,0
931891072,Blue,300,1,93,2023-12-31,Week-53,Q4,2023,23034.00,1992,2514,32,0.086,Swipe ,Grocery,175.980,0
946247323,Blue,150,1,70,2023-12-31,Week-53,Q4,2023,4514.00,2016,4107,59,0.447,Swipe ,Entertainment,1067.820,0
930197610,Blue,150,0,84,2023-12-31,Week-53,Q4,2023,3454.00,1200,1313,30,0.347,Swipe ,Travel,196.950,0
949774711,Blue,475,1,46,2023-12-31,Week-53,Q4,2023,8167.00,1740,2141,51,0.213,Swipe ,Bills,578.070,0
943826301,Blue,490,1,103,2023-12-31,Week-53,Q4,2023,4623.00,1366,14730,118,0.295,Swipe ,Grocery,4124.400,0
940281207,Blue,395,1,44,2023-12-31,Week-53,Q4,2023,2800.00,1834,15971,36,0.655,Swipe ,Bills,361.330,0
917125667,Blue,245,0,114,2023-12-31,Week-53,Q4,2023,2404.00,1887,4489,75,0.785,Chip ,Bills,628.460,0
943190439,Blue,125,1,117,2023-12-31,Week-53,Q4,2023,2248.00,0,4439,77,0.000,Swipe ,Grocery,355.120,0
922320730,Blue,415,0,128,2023-12-31,Week-53,Q4,2023,7234.00,2055,5051,83,0.284,Swipe ,Bills,1363.770,0
929595858,Blue,125,0,78,2023-12-31,Week-53,Q4,2023,16037.00,0,3048,70,0.000,Swipe ,Entertainment,883.920,0
959893136,Blue,300,1,86,2023-12-31,Week-53,Q4,2023,5638.00,808,2036,50,0.143,Swipe ,Entertainment,244.320,0
914645436,Blue,125,0,68,2023-12-31,Week-53,Q4,2023,2642.00,2035,1761,42,0.770,Swipe ,Entertainment,140.880,0
955643267,Blue,200,1,137,2023-12-31,Week-53,Q4,2023,8404.00,1498,4811,56,0.178,Swipe ,Fuel,769.760,0
930834378,Blue,150,0,97,2023-12-31,Week-53,Q4,2023,18800.00,2517,1575,23,0.134,Chip ,Food,456.750,0
941473935,Gold,270,0,116,2023-12-31,Week-53,Q4,2023,8416.00,1549,13988,124,0.184,Chip ,Travel,3077.360,0
915493311,Blue,250,1,90,2023-12-31,Week-53,Q4,2023,6275.00,1579,1585,43,0.252,Swipe ,Entertainment,142.650,0
968936158,Blue,270,1,84,2023-12-31,Week-53,Q4,2023,3791.00,1648,2058,34,0.435,Online ,Bills,555.660,0
933392675,Blue,405,1,108,2023-12-31,Week-53,Q4,2023,17655.00,1720,16293,120,0.097,Chip ,Fuel,3910.320,0
928419817,Blue,245,0,83,2023-12-31,Week-53,Q4,2023,24499.00,2517,7667,84,0.103,Swipe ,Entertainment,1686.740,0
915483449,Blue,125,1,75,2023-12-31,Week-53,Q4,2023,13709.00,813,2511,40,0.059,Swipe ,Food,728.190,0
946714401,Blue,250,1,79,2023-12-31,Week-53,Q4,2023,2885.00,1895,1366,31,0.657,Swipe ,Bills,232.220,0
956874871,Blue,385,1,71,2023-12-31,Week-53,Q4,2023,21165.00,735,3343,60,0.035,Online ,Grocery,334.300,0
958764892,Blue,150,0,96,2023-12-31,Week-53,Q4,2023,7081.00,1874,2249,47,0.265,Swipe ,Fuel,292.370,0
934634748,Blue,355,1,120,2023-12-31,Week-53,Q4,2023,31383.00,1688,1721,56,0.054,Swipe ,Entertainment,344.200,0
912083085,Blue,200,1,161,2023-12-31,Week-53,Q4,2023,2201.00,651,3165,65,0.296,Online ,Entertainment,189.900,0
911365112,Blue,440,0,102,2023-12-31,Week-53,Q4,2023,6130.00,1741,4264,63,0.284,Swipe ,Fuel,1236.560,0
953753052,Blue,385,1,151,2023-12-31,Week-53,Q4,2023,27374.00,1509,4231,60,0.055,Chip ,Travel,676.960,0
958974616,Blue,415,1,115,2023-12-31,Week-53,Q4,2023,27169.00,0,3906,87,0.000,Swipe ,Food,234.360,0
950813526,Blue,455,1,142,2023-12-31,Week-53,Q4,2023,2632.00,1480,4787,89,0.562,Swipe ,Food,1148.880,0
942716217,Blue,320,1,83,2023-12-31,Week-53,Q4,2023,2257.00,896,4618,94,0.397,Swipe ,Food,461.800,0
916095724,Gold,470,0,148,2023-12-31,Week-53,Q4,2023,34516.00,1342,7283,89,0.039,Swipe ,Bills,1893.580,0
916347080,Blue,250,0,87,2023-12-31,Week-53,Q4,2023,7357.00,1069,3943,64,0.145,Chip ,Food,828.030,1
933846978,Blue,140,0,77,2023-12-31,Week-53,Q4,2023,20543.00,0,1874,42,0.000,Chip ,Fuel,449.760,0
964803228,Silver,110,1,97,2023-12-31,Week-53,Q4,2023,34516.00,802,1823,27,0.023,Swipe ,Grocery,255.220,0
948820628,Blue,370,0,151,2023-12-31,Week-53,Q4,2023,3144.00,2216,4717,75,0.705,Chip ,Travel,1179.250,1
941121418,Blue,125,0,80,2023-12-31,Week-53,Q4,2023,1467.00,896,1731,54,0.611,Swipe ,Entertainment,138.480,0
924616697,Blue,390,1,119,2023-12-31,Week-53,Q4,2023,25516.00,1363,2317,38,0.053,Swipe ,Bills,509.740,0
925419962,Blue,460,0,95,2023-12-31,Week-53,Q4,2023,3011.00,2138,4439,75,0.710,Chip ,Fuel,1198.530,0
940119296,Blue,340,1,78,2023-12-31,Week-53,Q4,2023,3797.00,1202,4191,65,0.317,Swipe ,Grocery,1089.660,0
926247280,Silver,175,1,85,2023-12-31,Week-53,Q4,2023,17304.00,2517,1756,33,0.145,Swipe ,Travel,403.880,1
924777883,Blue,140,1,66,2023-12-31,Week-53,Q4,2023,3261.00,814,4739,89,0.250,Chip ,Entertainment,1089.970,0
920819113,Blue,175,0,95,2023-12-31,Week-53,Q4,2023,4063.00,0,79463,70,0.000,Chip ,Fuel,1492.600,0
929774594,Blue,125,1,74,2023-12-31,Week-53,Q4,2023,8074.00,2426,5372,93,0.300,Swipe ,Grocery,698.360,1
966406115,Gold,370,1,87,2023-12-31,Week-53,Q4,2023,34516.00,0,15095,102,0.000,Chip ,Travel,1207.600,0
933574623,Blue,405,1,80,2023-12-31,Week-53,Q4,2023,1677.00,0,2437,41,0.000,Chip ,Grocery,463.030,0
912085260,Blue,150,1,51,2023-12-31,Week-53,Q4,2023,2498.00,2258,1839,29,0.904,Swipe ,Fuel,202.290,0
924433213,Blue,140,0,100,2023-12-31,Week-53,Q4,2023,7128.00,1457,3534,70,0.204,Chip ,Entertainment,742.140,0
953669287,Blue,405,0,46,2023-12-31,Week-53,Q4,2023,13427.00,0,1337,27,0.000,Swipe ,Grocery,374.360,0
946760890,Blue,470,1,95,2023-12-31,Week-53,Q4,2023,3085.00,966,4765,79,0.313,Swipe ,Entertainment,905.350,1
929300195,Silver,355,1,119,2023-12-31,Week-53,Q4,2023,32535.00,1722,15738,116,0.053,Swipe ,Bills,3934.500,0
954136712,Blue,150,1,112,2023-12-31,Week-53,Q4,2023,7475.00,1473,1592,30,0.197,Swipe ,Entertainment,111.440,0
966386176,Blue,340,1,109,2023-12-31,Week-53,Q4,2023,24765.00,1999,1544,36,0.081,Swipe ,Fuel,154.400,0
911017231,Blue,125,1,107,2023-12-31,Week-53,Q4,2023,4752.00,1230,15678,103,0.259,Chip ,Travel,2038.140,0
936476946,Blue,125,1,118,2023-12-31,Week-53,Q4,2023,2338.00,1566,3964,69,0.670,Chip ,Bills,1030.640,1
927921459,Blue,430,0,128,2023-12-31,Week-53,Q4,2023,14670.00,1900,4221,83,0.130,Swipe ,Entertainment,1055.250,0
925316884,Blue,325,0,89,2023-12-31,Week-53,Q4,2023,2711.00,1793,5084,79,0.661,Swipe ,Entertainment,1321.840,0
924336171,Blue,390,0,116,2023-12-31,Week-53,Q4,2023,5479.00,1200,7960,86,0.219,Swipe ,Food,1432.800,0
944505505,Silver,350,1,95,2023-12-31,Week-53,Q4,2023,34516.00,1298,1906,39,0.038,Swipe ,Bills,476.500,0
958702412,Blue,150,1,111,2023-12-31,Week-53,Q4,2023,2826.00,2070,16025,28,0.732,Swipe ,Travel,82.000,0
958902812,Blue,100,1,150,2023-12-31,Week-53,Q4,2023,4945.00,0,2743,69,0.000,Swipe ,Bills,795.470,0
959842077,Blue,245,1,103,2023-12-31,Week-53,Q4,2023,1438.30,0,2075,66,0.000,Swipe ,Bills,249.000,0
965083879,Blue,175,1,98,2023-12-31,Week-53,Q4,2023,8571.00,1616,1397,28,0.189,Online ,Entertainment,349.250,0
927808848,Blue,125,1,80,2023-12-31,Week-53,Q4,2023,3673.00,2292,17257,34,0.624,Swipe ,Travel,150.840,0
966885391,Silver,125,1,109,2023-12-31,Week-53,Q4,2023,15677.00,1227,3818,81,0.078,Swipe ,Entertainment,534.520,0
915796666,Blue,495,1,105,2023-12-31,Week-53,Q4,2023,4206.00,1100,1144,22,0.262,Swipe ,Bills,137.280,0
956387227,Blue,430,1,167,2023-12-31,Week-53,Q4,2023,2192.00,1569,4010,79,0.716,Swipe ,Fuel,721.800,0
916680535,Blue,190,1,100,2023-12-31,Week-53,Q4,2023,7050.00,1008,2176,39,0.143,Chip ,Food,130.560,0
967367842,Silver,445,1,101,2023-12-31,Week-53,Q4,2023,2405.00,1540,15087,29,0.640,Swipe ,Bills,217.400,0
935378181,Silver,225,0,111,2023-12-31,Week-53,Q4,2023,34516.00,1588,7512,81,0.046,Swipe ,Grocery,1577.520,0
959015924,Blue,430,1,115,2023-12-31,Week-53,Q4,2023,6443.00,2073,9277,92,0.322,Swipe ,Fuel,1206.010,0
931655537,Blue,225,1,101,2023-12-31,Week-53,Q4,2023,1621.00,0,7400,86,0.000,Swipe ,Grocery,740.000,0
918979142,Blue,475,1,112,2023-12-31,Week-53,Q4,2023,23507.00,1990,2650,65,0.085,Swipe ,Bills,583.000,0
941614504,Blue,455,1,41,2023-12-31,Week-53,Q4,2023,4597.00,2442,18504,38,0.531,Online ,Entertainment,240.640,0
956303078,Blue,410,0,73,2023-12-31,Week-53,Q4,2023,6228.00,1738,8284,77,0.279,Swipe ,Fuel,1822.480,0
964474458,Blue,100,0,72,2023-12-31,Week-53,Q4,2023,1438.30,0,4928,84,0.000,Online ,Grocery,788.480,0
962482385,Silver,100,1,150,2023-12-31,Week-53,Q4,2023,34516.00,2052,3510,62,0.059,Swipe ,Grocery,772.200,0
919695363,Blue,475,1,99,2023-12-31,Week-53,Q4,2023,3807.00,2517,19739,36,0.661,Swipe ,Entertainment,504.310,0
931822111,Blue,275,0,99,2023-12-31,Week-53,Q4,2023,11548.00,0,7781,72,0.000,Swipe ,Food,1167.150,0
925168075,Blue,245,1,74,2023-12-31,Week-53,Q4,2023,20769.00,901,1835,43,0.043,Chip ,Fuel,201.850,0
